brand,country,sentiment
nike,USA,positive
nike,USA,neutral
nike,USA,positive
nike,USA,neutral
nike,USA,positive
nike,USA,neutral
nike,USA,neutral
nike,USA,neutral
nike,USA,positive
nike,USA,neutral
nike,USA,neutral
nike,USA,positive
nike,USA,neutral
nike,USA,neutral
nike,USA,positive
nike,USA,positive
nike,USA,negative
nike,USA,neutral
nike,USA,positive
nike,USA,neutral
nike,USA,positive
nike,USA,neutral
nike,USA,neutral
nike,USA,positive
nike,USA,positive
nike,USA,neutral
nike,USA,positive
nike,USA,neutral
nike,USA,positive
nike,USA,negative
nike,USA,negative
nike,USA,positive
nike,USA,neutral
nike,USA,positive
nike,USA,neutral
nike,USA,neutral
nike,USA,positive
nike,USA,neutral
nike,USA,neutral
nike,USA,positive
nike,USA,neutral
nike,USA,neutral
nike,USA,positive
nike,USA,neutral
nike,UK,positive
nike,UK,positive
nike,UK,positive
nike,UK,neutral
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,positive
nike,UK,negative
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,negative
nike,UK,negative
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,positive
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,UK,positive
nike,UK,neutral
nike,Canada,positive
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Canada,positive
nike,Canada,neutral
nike,Australia,positive
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Australia,positive
nike,Australia,neutral
nike,Germany,positive
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,Germany,neutral
nike,Germany,positive
nike,France,positive
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,France,neutral
nike,France,positive
nike,India,negative
nike,India,positive
nike,India,neutral
nike,India,neutral
nike,India,positive
nike,India,neutral
nike,India,negative
nike,India,negative
nike,India,positive
nike,India,neutral
nike,India,neutral
nike,India,positive
nike,India,neutral
nike,India,positive
nike,India,positive
nike,India,positive
nike,India,neutral
nike,India,positive
nike,India,neutral
nike,India,positive
nike,India,positive
nike,India,neutral
nike,India,positive
nike,India,neutral
nike,India,positive
nike,India,neutral
nike,India,positive
nike,India,neutral
nike,India,positive
nike,India,neutral
nike,India,positive
nike,India,neutral
nike,India,positive
nike,India,neutral
nike,India,positive
nike,India,neutral
nike,India,positive
nike,India,neutral
nike,India,positive
nike,India,neutral
nike,India,positive
nike,India,neutral
nike,India,positive
nike,India,neutral
nike,India,positive
nike,India,neutral
nike,India,positive
nike,India,neutral
nike,India,positive
nike,India,neutral
nike,India,positive
nike,India,neutral
nike,India,positive
nike,India,neutral
nike,India,positive
nike,India,neutral
nike,India,positive
nike,India,neutral
nike,India,positive
nike,India,neutral
nike,India,positive
nike,India,neutral
nike,India,positive
nike,India,neutral
nike,India,positive
nike,India,neutral
nike,India,positive
nike,India,neutral
nike,India,positive
nike,India,neutral
nike,Brazil,positive
nike,Brazil,positive
nike,Brazil,neutral
nike,Brazil,positive
nike,Brazil,neutral
nike,Brazil,positive
nike,Brazil,neutral
nike,Brazil,positive
nike,Brazil,neutral
nike,Brazil,positive
nike,Brazil,neutral
nike,Brazil,positive
nike,Brazil,neutral
nike,Brazil,positive
nike,Brazil,neutral
nike,Brazil,positive
nike,Brazil,neutral
nike,Brazil,positive
nike,Brazil,neutral
nike,Brazil,positive
nike,Brazil,neutral
nike,Brazil,positive
nike,Brazil,neutral
nike,Brazil,positive
nike,Brazil,neutral
nike,Brazil,positive
nike,Brazil,neutral
nike,Brazil,positive
nike,Brazil,neutral
nike,Brazil,positive
nike,Brazil,neutral
nike,Brazil,positive
nike,Brazil,neutral
nike,Brazil,positive
nike,Brazil,neutral
nike,Brazil,positive
nike,Brazil,neutral
nike,Brazil,positive
nike,Brazil,neutral
nike,Brazil,positive
nike,Brazil,neutral
nike,Brazil,positive
nike,Brazil,neutral
nike,Brazil,positive
nike,Brazil,neutral
nike,Brazil,positive
nike,Brazil,neutral
nike,Brazil,positive
nike,Brazil,neutral
nike,Brazil,positive
nike,Brazil,neutral
nike,Brazil,positive
nike,Brazil,neutral
nike,Brazil,positive
nike,Brazil,neutral
nike,Brazil,positive
nike,Brazil,neutral
nike,Brazil,positive
nike,Brazil,neutral
nike,Brazil,positive
nike,Brazil,neutral
nike,Japan,positive
nike,Japan,positive
nike,Japan,neutral
nike,Japan,positive
nike,Japan,neutral
nike,Japan,positive
nike,Japan,neutral
nike,Japan,positive
nike,Japan,neutral
nike,Japan,positive
nike,Japan,neutral
nike,Japan,positive
nike,Japan,neutral
nike,Japan,positive
nike,Japan,neutral
nike,Japan,positive
nike,Japan,neutral
nike,Japan,positive
nike,Japan,neutral
nike,Japan,positive
nike,Japan,neutral
nike,Japan,positive
nike,Japan,neutral
nike,Japan,positive
nike,Japan,neutral
nike,Japan,positive
nike,Japan,neutral
nike,Japan,positive
nike,Japan,neutral
nike,Japan,positive
nike,Japan,neutral
nike,Japan,positive
nike,Japan,neutral
nike,Japan,positive
nike,Japan,neutral
nike,Japan,positive
nike,Japan,neutral
nike,Japan,positive
nike,Japan,neutral
nike,Japan,positive
nike,Japan,neutral
nike,Japan,positive
,,
Show quoted text -,,
nike,Japan,neutral
nike,Japan,positive
nike,Japan,neutral
nike,Japan,positive
nike,Japan,neutral
nike,Japan,positive
nike,Japan,neutral
nike,Japan,positive
nike,Japan,neutral
nike,Japan,positive
nike,Japan,neutral
nike,SouthAfrica,positive
nike,SouthAfrica,positive
nike,SouthAfrica,neutral
nike,SouthAfrica,positive
nike,SouthAfrica,neutral
nike,SouthAfrica,positive
nike,SouthAfrica,neutral
nike,SouthAfrica,positive
nike,SouthAfrica,neutral
nike,SouthAfrica,positive
nike,SouthAfrica,neutral
nike,SouthAfrica,positive
nike,SouthAfrica,neutral
nike,SouthAfrica,positive
nike,SouthAfrica,neutral
nike,SouthAfrica,positive
nike,SouthAfrica,neutral
nike,SouthAfrica,positive
nike,SouthAfrica,neutral
nike,SouthAfrica,positive
nike,SouthAfrica,neutral
nike,SouthAfrica,positive
nike,SouthAfrica,neutral
nike,SouthAfrica,positive
nike,SouthAfrica,neutral
nike,SouthAfrica,positive
nike,SouthAfrica,neutral
nike,SouthAfrica,positive
nike,SouthAfrica,neutral
nike,SouthAfrica,positive
nike,SouthAfrica,neutral
nike,SouthAfrica,positive
nike,SouthAfrica,neutral
nike,SouthAfrica,positive
nike,SouthAfrica,neutral
nike,SouthAfrica,positive
nike,SouthAfrica,neutral
nike,SouthAfrica,positive
nike,SouthAfrica,neutral
